あおい（青い）					蓝色的
あかい（赤い）                  红色的
あかるい（明るい）              明亮的，开朗的
あたたかい（暖かい）            温暖的，暖和的
あたらしい（新しい）            新的
あつい（熱い）                  热的
あつい（暑い）                  热的，烫的
あつい（厚い）                  厚的
あぶない（危ない）              危险的
あまい（甘い）                  甜的
いい／よい（良い）              好的
いそがしい（忙しい）            忙的
いたい（痛い）                  痛的
うすい（薄い）                  薄的
うるさい                        吵的
うれしい（嬉しい）              高兴的，开心的
おいしい（美味しい）            好吃的
おおい（多い）                  多的
おおきい（大きい）              大的
おそい（遅い）                  慢的
おもい（重い）                  重的
おもしろい（面白い）            有趣的
かっこいい                      帅的
からい（辛い）                  辣的
かるい（軽い）                  轻的
かわい（可愛い）                可爱的
きいろい（黄色い）              黄色的
きたない（汚い）                脏的
きびしい（厳しい）              严格的
くらい（暗い）                  暗的
くろい（黒い）                  黑色的
さむい（寒い）                  冷的
しろい（白い）                  白色的
すくない（少ない）              少的
すごい                          厉害的
すずしい（涼しい）              凉爽的
せまい（狭い）                  狭窄的
たかい（高い）                  高的
たかい（高い）                  贵的
ただしい（正しい）              正确的，正当的
たのしい（楽しい）              快乐的，愉快的
ちいさい（小さい）              小的
ちかい（近い）                  近的
つまらない                      无聊的
つめたい（冷たい）              冷的
つよい（強い）                  强的
とおい（遠い）                  远的
ながい（長い）                  长的
ぬるい                          不够热的，不够冷的
ねむい（眠い）                  困的，想睡的
はやい（早い）                  早的
はやい（速い）                  快的，迅速的
ひくい（低い）                  低的，矮的
ひろい（広い）                  宽敞的，宽广的
ふとい（太い）                  粗的，胖的
ふるい（古い）                  旧的，古老的
ほしい（欲しい）                想要的
ほそい（細い）                  细的，瘦的
まずい（不味い）                不好吃的
まるい（丸い）                  圆的
みじかい（短い）                短的
むずかしい（難しい）            难的，困难的
やさしい（易しい）              容易的，简单的
やさしい（優しい）              温柔的，亲切的
やすい（安い）                  便宜的
よわい（弱い）                  弱的
わかい（若い）                  年轻的
わるい（悪い）                  坏的，不好的
いやな（嫌な）                  讨厌的
いろいろな（色々な）            各种的
かんたんな（簡単な）            简单的，容易的
きらいな（嫌いな）              讨厌的，不喜欢的
きれいな（綺麗な）              漂亮的
けっこうな（結構な）            不错的，相当的
げんきな（元気な）              健康的，有精神的
しずかな（静かな）              安静的
じょうずな（上手な）            擅长的
じょうぶな（丈夫な）            结实的
しんせつな（親切な）            亲切的
すきな（好きな）                喜欢的
すてきな（素敵な）              漂亮的，美好的
だいじょうぶな（大丈夫な）      没事的，没关系的
だいすきな（大好きな）          非常喜欢的
たいせつな（大切な）            重要的，珍贵的
たいへんな（大変な）            辛苦的
てごろな（手頃な）              合适的
にぎやかな（賑やかな）          热闹的
ひまな（暇な）                  空闲的
へたな（下手な）                不擅长的
べんりな（便利な）              方便的
まっすぐな（真っ直ぐな）        直的，笔直的
ゆうめいな（有名な）            有名的
りっぱな（立派な）              出色的，豪华的
　
